(179, 'F783DB37-24FD-4D36-98E0-E989622AA6B0', 'По норме-несв. показ', 'ФЛ', Decimal('10.200'), '09-2022')
(179, 'F783DB37-24FD-4D36-98E0-E989622AA6B0', 'По прибору', 'ФЛ', Decimal('12.000'), '09-2022')
(179, 'F783DB37-24FD-4D36-98E0-E989622AA6B0', 'По среднему', 'ФЛ', Decimal('2.306'), '09-2022')
(180, '3F0DF46D-5381-4144-9A83-DDB99CADD41A', 'По прибору', 'ФЛ', Decimal('40.726'), '09-2022')
(181, 'AF9CB24A-8BBA-49D8-AE9D-20BDF2AE626A', 'По норме', 'ФЛ', Decimal('35.700'), '09-2022')
(181, 'AF9CB24A-8BBA-49D8-AE9D-20BDF2AE626A', 'По прибору', 'ФЛ', Decimal('14.000'), '09-2022')
(182, 'C0D047BC-4698-49DF-8F61-42272C1A4300', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(182, 'C0D047BC-4698-49DF-8F61-42272C1A4300', 'По норме-несв. показ', 'ФЛ', Decimal('5.100'), '09-2022')
(182, 'C0D047BC-4698-49DF-8F61-42272C1A4300', 'По прибору', 'ФЛ', Decimal('15.000'), '09-2022')
(182, 'C0D047BC-4698-49DF-8F61-42272C1A4300', 'По среднему', 'ФЛ', Decimal('1.192'), '09-2022')
(184, '670BE2A2-C136-42B4-87A6-C9313B6C8EDC', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(184, '670BE2A2-C136-42B4-87A6-C9313B6C8EDC', 'По норме-несв. показ', 'ФЛ', Decimal('15.250'), '09-2022')
(184, '670BE2A2-C136-42B4-87A6-C9313B6C8EDC', 'По среднему', 'ФЛ', Decimal('3.918'), '09-2022')
(185, 'D5CFEBBB-8944-4275-8D88-5BEE79C9B589', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(185, 'D5CFEBBB-8944-4275-8D88-5BEE79C9B589', 'По прибору', 'ФЛ', Decimal('52.000'), '09-2022')
(185, 'D5CFEBBB-8944-4275-8D88-5BEE79C9B589', 'По среднему', 'ФЛ', Decimal('-16.862'), '09-2022')
(187, 'CF9CA0CD-63A7-4A32-BA52-CEDB9D8FA4B0', 'По прибору', 'ФЛ', Decimal('21.000'), '09-2022')
(188, '0E77A38D-D7D1-4A5B-8922-60307B4F07CD', 'По норме', 'ФЛ', Decimal('3.540'), '09-2022')
(188, '0E77A38D-D7D1-4A5B-8922-60307B4F07CD', 'По прибору', 'ФЛ', Decimal('26.000'), '09-2022')
(188, '0E77A38D-D7D1-4A5B-8922-60307B4F07CD', 'По среднему', 'ФЛ', Decimal('-4.114'), '09-2022')
(189, '799017F5-CD35-4473-8289-241E7EEA8AC8', 'По норме', 'ФЛ', Decimal('17.890'), '09-2022')
(189, '799017F5-CD35-4473-8289-241E7EEA8AC8', 'По среднему', 'ФЛ', Decimal('11.258'), '09-2022')
(190, 'EC19095F-AA22-41FC-8F95-8E9006574829', 'По норме', 'ФЛ', Decimal('8.850'), '09-2022')
(191, 'EF47555D-1A0A-4531-868D-9255B46F6DE0', 'По норме', 'ФЛ', Decimal('15.300'), '09-2022')
(191, 'EF47555D-1A0A-4531-868D-9255B46F6DE0', 'По прибору', 'ФЛ', Decimal('28.000'), '09-2022')
(192, '621D153D-8F2E-4852-A095-74F73D55C7E2', 'По норме', 'ФЛ', Decimal('17.500'), '09-2022')
(192, '621D153D-8F2E-4852-A095-74F73D55C7E2', 'По норме - нет показ', 'ФЛ', Decimal('20.400'), '09-2022')
(192, '621D153D-8F2E-4852-A095-74F73D55C7E2', 'По норме-несв. показ', 'ФЛ', Decimal('15.300'), '09-2022')
(193, '869AAD23-728A-458F-8932-7D34855AAB96', 'По норме', 'ФЛ', Decimal('0.000'), '09-2022')
(193, '869AAD23-728A-458F-8932-7D34855AAB96', 'По норме-несв. показ', 'ФЛ', Decimal('2.700'), '09-2022')
(193, '869AAD23-728A-458F-8932-7D34855AAB96', 'По прибору', 'ФЛ', Decimal('0.620'), '09-2022')
(193, '869AAD23-728A-458F-8932-7D34855AAB96', 'По среднему', 'ФЛ', Decimal('1.960'), '09-2022')
(194, 'A081E946-6BA1-40A8-8F8C-D57AD4068C73', 'По норме', 'ФЛ', Decimal('37.350'), '09-2022')
(194, 'A081E946-6BA1-40A8-8F8C-D57AD4068C73', 'По прибору', 'ФЛ', Decimal('20.000'), '09-2022')
(194, 'A081E946-6BA1-40A8-8F8C-D57AD4068C73', 'По среднему', 'ФЛ', Decimal('7.202'), '09-2022')
(195, '8C396DF8-8EBB-4BBA-AB9B-A9F9A4C6BB37', 'По норме', 'ФЛ', Decimal('19.173'), '09-2022')
(195, '8C396DF8-8EBB-4BBA-AB9B-A9F9A4C6BB37', 'По прибору', 'ФЛ', Decimal('14.500'), '09-2022')
(195, '8C396DF8-8EBB-4BBA-AB9B-A9F9A4C6BB37', 'По среднему', 'ФЛ', Decimal('2.765'), '09-2022')
(196, '47E0BBD7-D0F5-4D86-B789-A5713F867E70', 'По норме', 'ФЛ', Decimal('18.278'), '09-2022')
(196, '47E0BBD7-D0F5-4D86-B789-A5713F867E70', 'По прибору', 'ФЛ', Decimal('4.000'), '09-2022')
(196, '47E0BBD7-D0F5-4D86-B789-A5713F867E70', 'По среднему', 'ФЛ', Decimal('-7.128'), '09-2022')
(197, '42CA84CB-4F8D-44DE-B56A-CB36899ABF5A', 'По норме', 'ФЛ', Decimal('7.350'), '09-2022')
(197, '42CA84CB-4F8D-44DE-B56A-CB36899ABF5A', 'По прибору', 'ФЛ', Decimal('6.000'), '09-2022')
(197, '42CA84CB-4F8D-44DE-B56A-CB36899ABF5A', 'По среднему', 'ФЛ', Decimal('-5.693'), '09-2022')
(198, 'E6F737E2-96AB-4B62-89C9-3DC03F9932A0', 'По норме', 'ФЛ', Decimal('6.100'), '09-2022')
(198, 'E6F737E2-96AB-4B62-89C9-3DC03F9932A0', 'По прибору', 'ФЛ', Decimal('24.000'), '09-2022')
(198, 'E6F737E2-96AB-4B62-89C9-3DC03F9932A0', 'По среднему', 'ФЛ', Decimal('-7.115'), '09-2022')
(199, '79009F96-10E6-4033-B01C-3F331A0E175C', 'По норме', 'ФЛ', Decimal('66.388'), '09-2022')
